escuela,sostenedor,indicadorId,ambito,estado,valor
"Escuela España","SLEP Los Parques",I.13,A2,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.14,A2,CONECTADO_CON_DATO,0.25
"Escuela España","SLEP Los Parques",I.15,A2,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.16,A2,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.17,A2,CONECTADO_CON_DATO,1
"Escuela España","SLEP Los Parques",I.18,A2,CONECTADO_CON_DATO,1
"Escuela España","SLEP Los Parques",I.19,A2,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.20,A2,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.21,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.22,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.23,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.24,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.25,A3,CONECTADO_CON_DATO,2
"Escuela España","SLEP Los Parques",I.26,A3,CONECTADO_CON_DATO,7
"Escuela España","SLEP Los Parques",I.27,A3,CONECTADO_CON_DATO,0.1
"Escuela España","SLEP Los Parques",I.28,A4,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.29,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.30,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.31,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.32,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.33,A1,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.34,A1,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.35,A1,CONECTADO_CON_DATO,1
"Escuela España","SLEP Los Parques",I.36,A2,CONECTADO_CON_DATO,6.3
"Escuela España","SLEP Los Parques",I.37,A2,CONECTADO_SIN_DATO,
