escuela,sostenedor,indicadorId,ambito,estado,valor
"Escuela España","SLEP Los Parques",I.38,A2,CONECTADO_CON_DATO,1
"Escuela España","SLEP Los Parques",I.39,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.40,A3,CONECTADO_CON_DATO,0.011673151750972763
"Escuela España","SLEP Los Parques",I.41,A3,CONECTADO_CON_DATO,0
"Escuela España","SLEP Los Parques",I.42,A3,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.43,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.44,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.45,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.46,A3,CONECTADO_CON_DATO,3
"Escuela España","SLEP Los Parques",I.47,A3,CONECTADO_SIN_DATO,
"Escuela España","SLEP Los Parques",I.48,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.49,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.50,A4,SIN_FUENTE,
"Escuela España","SLEP Los Parques",I.51,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.1,A1,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.2,A1,CONECTADO_CON_DATO,4
"Escuela Gil de Castro","SLEP Los Parques",I.3,A1,CONECTADO_CON_DATO,0.15384615384615385
"Escuela Gil de Castro","SLEP Los Parques",I.4,A1,CONECTADO_CON_DATO,0.19230769230769232
"Escuela Gil de Castro","SLEP Los Parques",I.5,A1,CONECTADO_CON_DATO,4
"Escuela Gil de Castro","SLEP Los Parques",I.6,A1,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.7,A1,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.8,A1,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.9,A1,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.10,A1,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.11,A2,CONECTADO_CON_DATO,3
"Escuela Gil de Castro","SLEP Los Parques",I.12,A2,CONECTADO_CON_DATO,0.675
"Escuela Gil de Castro","SLEP Los Parques",I.13,A2,CONECTADO_CON_DATO,0.75
"Escuela Gil de Castro","SLEP Los Parques",I.14,A2,CONECTADO_CON_DATO,0.5
"Escuela Gil de Castro","SLEP Los Parques",I.15,A2,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.16,A2,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.17,A2,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.18,A2,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.19,A2,CONECTADO_CON_DATO,0.4935897435897436
"Escuela Gil de Castro","SLEP Los Parques",I.20,A2,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.21,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.22,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.23,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.24,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.25,A3,CONECTADO_CON_DATO,2
"Escuela Gil de Castro","SLEP Los Parques",I.26,A3,CONECTADO_CON_DATO,11
"Escuela Gil de Castro","SLEP Los Parques",I.27,A3,CONECTADO_CON_DATO,0.5
"Escuela Gil de Castro","SLEP Los Parques",I.28,A4,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.29,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.30,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.31,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.32,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.33,A1,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.34,A1,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.35,A1,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.36,A2,CONECTADO_CON_DATO,6.5
"Escuela Gil de Castro","SLEP Los Parques",I.37,A2,CONECTADO_SIN_DATO,
"Escuela Gil de Castro","SLEP Los Parques",I.38,A2,CONECTADO_CON_DATO,1
"Escuela Gil de Castro","SLEP Los Parques",I.39,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.40,A3,CONECTADO_CON_DATO,0.7307692307692307
"Escuela Gil de Castro","SLEP Los Parques",I.41,A3,CONECTADO_CON_DATO,0
"Escuela Gil de Castro","SLEP Los Parques",I.42,A3,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.43,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.44,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.45,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.46,A3,CONECTADO_CON_DATO,20
"Escuela Gil de Castro","SLEP Los Parques",I.47,A3,CONECTADO_CON_DATO,7
"Escuela Gil de Castro","SLEP Los Parques",I.48,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.49,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.50,A4,SIN_FUENTE,
"Escuela Gil de Castro","SLEP Los Parques",I.51,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.1,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.2,A1,CONECTADO_CON_DATO,3
"Escuela Inglaterra","SLEP Los Parques",I.3,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.4,A1,CONECTADO_CON_DATO,0.23076923076923078
"Escuela Inglaterra","SLEP Los Parques",I.5,A1,CONECTADO_CON_DATO,3
"Escuela Inglaterra","SLEP Los Parques",I.6,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.7,A1,CONECTADO_CON_DATO,1
"Escuela Inglaterra","SLEP Los Parques",I.8,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.9,A1,CONECTADO_CON_DATO,1
"Escuela Inglaterra","SLEP Los Parques",I.10,A1,CONECTADO_CON_DATO,1
"Escuela Inglaterra","SLEP Los Parques",I.11,A2,CONECTADO_CON_DATO,3
"Escuela Inglaterra","SLEP Los Parques",I.12,A2,CONECTADO_CON_DATO,0.4375
"Escuela Inglaterra","SLEP Los Parques",I.13,A2,CONECTADO_CON_DATO,0.25
"Escuela Inglaterra","SLEP Los Parques",I.14,A2,CONECTADO_CON_DATO,0.5
"Escuela Inglaterra","SLEP Los Parques",I.15,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.16,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.17,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.18,A2,CONECTADO_CON_DATO,1
"Escuela Inglaterra","SLEP Los Parques",I.19,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.20,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.21,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.22,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.23,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.24,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.25,A3,CONECTADO_CON_DATO,2
"Escuela Inglaterra","SLEP Los Parques",I.26,A3,CONECTADO_CON_DATO,21
"Escuela Inglaterra","SLEP Los Parques",I.27,A3,CONECTADO_CON_DATO,0.2
"Escuela Inglaterra","SLEP Los Parques",I.28,A4,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.29,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.30,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.31,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.32,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.33,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.34,A1,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.35,A1,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.36,A2,CONECTADO_CON_DATO,6.5
"Escuela Inglaterra","SLEP Los Parques",I.37,A2,CONECTADO_SIN_DATO,
"Escuela Inglaterra","SLEP Los Parques",I.38,A2,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.39,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.40,A3,CONECTADO_CON_DATO,0.46015037593984964
"Escuela Inglaterra","SLEP Los Parques",I.41,A3,CONECTADO_CON_DATO,0
"Escuela Inglaterra","SLEP Los Parques",I.42,A3,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.43,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.44,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.45,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.46,A3,CONECTADO_CON_DATO,7
"Escuela Inglaterra","SLEP Los Parques",I.47,A3,CONECTADO_SIN_DATO,
"Escuela Inglaterra","SLEP Los Parques",I.48,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.49,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.50,A4,SIN_FUENTE,
"Escuela Inglaterra","SLEP Los Parques",I.51,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.1,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.2,A1,CONECTADO_CON_DATO,4
"Escuela Platón","SLEP Los Parques",I.3,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Platón","SLEP Los Parques",I.4,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Platón","SLEP Los Parques",I.5,A1,CONECTADO_CON_DATO,4
"Escuela Platón","SLEP Los Parques",I.6,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.7,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.8,A1,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.9,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.10,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.11,A2,CONECTADO_CON_DATO,3
"Escuela Platón","SLEP Los Parques",I.12,A2,CONECTADO_CON_DATO,0.5
"Escuela Platón","SLEP Los Parques",I.13,A2,CONECTADO_CON_DATO,0.25
"Escuela Platón","SLEP Los Parques",I.14,A2,CONECTADO_CON_DATO,0.5
"Escuela Platón","SLEP Los Parques",I.15,A2,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.16,A2,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.17,A2,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.18,A2,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.19,A2,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.20,A2,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.21,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.22,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.23,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.24,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.25,A3,CONECTADO_CON_DATO,2
"Escuela Platón","SLEP Los Parques",I.26,A3,CONECTADO_CON_DATO,7
"Escuela Platón","SLEP Los Parques",I.27,A3,CONECTADO_CON_DATO,0.25
"Escuela Platón","SLEP Los Parques",I.28,A4,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.29,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.30,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.31,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.32,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.33,A1,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.34,A1,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.35,A1,CONECTADO_CON_DATO,1
"Escuela Platón","SLEP Los Parques",I.36,A2,CONECTADO_CON_DATO,6.9
"Escuela Platón","SLEP Los Parques",I.37,A2,CONECTADO_SIN_DATO,
"Escuela Platón","SLEP Los Parques",I.38,A2,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.39,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.40,A3,CONECTADO_CON_DATO,0.42805755395683454
